S/N,STATE,LGA,REGISTRATION AREA,POLLING UNIT,DELIMITATION,TOTAL
94,JIGAWA,AUYO,GATAFA,"GATAFA YELWA 'B', GATAFA  VILLAGE",17-01-07-006,750
95,JIGAWA,AUYO,GATAFA,GATAFA PRI. SCH. I,17-01-07-007,79
96,JIGAWA,AUYO,GATAFA,GATAFA KAROFI,17-01-07-008,210
97,JIGAWA,AUYO,GATAFA,GATAFA PRIMARY SCHOOL II,17-01-07-009,538
98,JIGAWA,AUYO,KAFUR,KAFUR PRI. SCH KAFUR,17-01-08-001,1057
99,JIGAWA,AUYO,KAFUR,"MAWA K. FADA, MAWA VILLAGE",17-01-08-002,235
100,JIGAWA,AUYO,KAFUR,ARAWA K. FADA ARAWA,17-01-08-003,304
101,JIGAWA,AUYO,KAFUR,GATAKASHE K. FADA GATAKASHE WAILARE,17-01-08-004,384
102,JIGAWA,AUYO,KAFUR,JIBA GANDU K. FADA JIBA GANDU,17-01-08-005,265
103,JIGAWA,AUYO,KAFUR,MASKANGAYU K. FADA MASKANGAYU,17-01-08-006,403
104,JIGAWA,AUYO,KAFUR,"SABON GIDAN AYANDUWA K. FADA, SABON GIDAN AYANDUWA",17-01-08-007,373
105,JIGAWA,AUYO,KAFUR,"GANUWAR KUKA PRI. SCH., GANUWAR KUKA",17-01-08-008,750
106,JIGAWA,AUYO,KAFUR,GUDITO PRI. SCH. GUDITO,17-01-08-009,469
107,JIGAWA,AUYO,KAFUR,YAMIDI K. FADA YAMIDI,17-01-08-010,736
108,JIGAWA,AUYO,KAFUR,JSS KAFUR,17-01-08-011,159
109,JIGAWA,AUYO,KAFUR,GANUWAR KUKU DISPENSARY,17-01-08-012,611
110,JIGAWA,AUYO,TSIDIR,TSIDIR PRI. SCH. TSIDIR,17-01-09-001,750
111,JIGAWA,AUYO,TSIDIR,FUGE K. FADA FUGE,17-01-09-002,348
112,JIGAWA,AUYO,TSIDIR,MURAN PRI. SCH.  MURAN/ARBUNA,17-01-09-003,878
113,JIGAWA,AUYO,TSIDIR,"FURAWA PRY SCH, FURAWA HAUSA/FULANI",17-01-09-004,610
114,JIGAWA,AUYO,TSIDIR,FURAWA PRI. SCH. FURAWA,17-01-09-005,637
115,JIGAWA,AUYO,TSIDIR,KURE K. FADA KURE/TUDUNWADA,17-01-09-006,331
116,JIGAWA,AUYO,TSIDIR,AFIYAU K. FADA AFIUYAU,17-01-09-007,306
117,JIGAWA,AUYO,TSIDIR,AGUZA K. FADA  AGUZA,17-01-09-008,223
118,JIGAWA,AUYO,TSIDIR,BANGELI PRI. SCH. BANGEL,17-01-09-009,883
119,JIGAWA,AUYO,TSIDIR,OLD DISPENASRY TSIDIR,17-01-09-010,446
120,JIGAWA,AUYO,TSIDIR,MURAN PRIMARY SCHOOL I,17-01-09-011,181
121,JIGAWA,AUYO,UNIK,UNIK PRI. SCH. UNIK BABBA,17-01-10-001,820
122,JIGAWA,AUYO,UNIK,UNIK DISPENSARY UNIK GANA,17-01-10-002,452
123,JIGAWA,AUYO,UNIK,"SHINGEN GABAS K. FADA, SHINGEN GABAS",17-01-10-003,722
124,JIGAWA,AUYO,UNIK,SHINGEN YAMMA K. FADA SHINGEN YAMMA,17-01-10-004,577
125,JIGAWA,AUYO,UNIK,GALDIMARI K. FADA GALDIMRI,17-01-10-005,740
126,JIGAWA,AUYO,UNIK,KATAN GAR TSIMIYA K. FADA K. TSAMIYA,17-01-10-006,182
127,JIGAWA,AUYO,UNIK,SHINYO PRI. SCH. SHINYO,17-01-10-007,809
128,JIGAWA,AUYO,UNIK,GUYU PRI. SCH. GUYU,17-01-10-008,636
129,JIGAWA,AUYO,UNIK,AFARMO K. FADA AFARMO,17-01-10-009,758
130,JIGAWA,AUYO,UNIK,DOGON MARKE  K. FADA DOGON MARKE,17-01-10-010,534
131,JIGAWA,AUYO,UNIK,KABAN PRI. SCH. KABAN,17-01-10-011,534
132,JIGAWA,AUYO,UNIK,"BAKARI K. FADA, BAKA RI",17-01-10-012,576
133,JIGAWA,AUYO,UNIK,TIGIMA K. FADA TIGIMA,17-01-10-013,420
134,JIGAWA,AUYO,UNIK,ZUGO K. FADA ZUGO,17-01-10-014,378
135,JIGAWA,AUYO,UNIK,SATERI KALAURI K. FADA SATERI KALAURI,17-01-10-015,331
136,JIGAWA,AUYO,UNIK,KAIGAMARI PRI. SCH. KAIGAMARI,17-01-10-016,224
137,JIGAWA,AUYO,UNIK,"JAMA'AR GUYU VILLAGE, JAMA'AR GUYU",17-01-10-017,205
138,JIGAWA,BABURA,BABURA,AREWA PRI. SCH. BABURA AREWA  I,17-02-01-001,1657
139,JIGAWA,BABURA,BABURA,AREWA PRI. SCH. BABURA AREWA  II,17-02-01-002,1803
140,JIGAWA,BABURA,BABURA,GABAS PRI. SCH. BABURA GABAS  I,17-02-01-003,1552
141,JIGAWA,BABURA,BABURA,GABAS PRI. SCH. BABURA GABAS  II,17-02-01-004,1081
142,JIGAWA,BABURA,BABURA,KUDU ISLAMIYYA PRI. SCH. BABURA KUDU  I,17-02-01-005,1189
143,JIGAWA,BABURA,BABURA,KUDU ISLAMIYYA PRI. SCH. BABURA KUDU  II,17-02-01-006,930
144,JIGAWA,BABURA,BABURA,KUDU ISLAMIYYA PRI. SCH. BABAURA KUDU III,17-02-01-007,646
145,JIGAWA,BABURA,BABURA,CENTRAL PRI. SCH. BABURA YAMMA  I,17-02-01-008,750
146,JIGAWA,BABURA,BABURA,CENTRAL PRI. SCH. BABURA YAMMA  II,17-02-01-009,750
147,JIGAWA,BABURA,BABURA,CENTRAL PRI. SCH. BABURA YAMMA  III,17-02-01-010,750
148,JIGAWA,BABURA,BABURA,BASKWAR JIJI / BASKWAR JIJI,17-02-01-011,673
149,JIGAWA,BABURA,BABURA,KAYAHURUMI/KAYA HURUMI,17-02-01-012,438
150,JIGAWA,BABURA,BABURA,MAHUTA PRI. SCH/MAHUTA RAHA,17-02-01-013,575
151,JIGAWA,BABURA,BABURA,JARMAI/JARMAI,17-02-01-014,539
152,JIGAWA,BABURA,BABURA,MALU UNGUWARGAWO PRI. SCH./UNG. GAWO,17-02-01-015,744
153,JIGAWA,BABURA,BABURA,KUDU ISLAMIYA P.S / BABURA KUDU IV,17-02-01-016,801
154,JIGAWA,BABURA,BABURA,KUDU ISLAMIYA P.S / BABURA KUDU V,17-02-01-017,763
155,JIGAWA,BABURA,BABURA,CENTRAL P.S /BABURA YAMMA,17-02-01-018,1167
156,JIGAWA,BABURA,BABURA,JSS  ARABIC I,17-02-01-019,120
157,JIGAWA,BABURA,BABURA,AREWA PRI SCH. IV,17-02-01-020,166
158,JIGAWA,BABURA,BABURA,JSS ARABIC II,17-02-01-021,127
159,JIGAWA,BABURA,BABURA,AREWA PRI. SCH. III,17-02-01-022,318
160,JIGAWA,BABURA,BABURA,OLD LEA ISLAMIYA PS,17-02-01-023,112
161,JIGAWA,BABURA,BABURA,GABAS PRI. SCH. III,17-02-01-024,108
162,JIGAWA,BABURA,BABURA,AKULA PRI. SCH.,17-02-01-025,124
163,JIGAWA,BABURA,BABURA,GABAS PRI. SCH. IV,17-02-01-026,146
164,JIGAWA,BABURA,BABURA,AGENCY FOR MASS EDU,17-02-01-027,130
165,JIGAWA,BABURA,BABURA,JGDSS YAU DANZABUWA I,17-02-01-028,750
166,JIGAWA,BABURA,BABURA,GDSS BABURA I,17-02-01-029,288
167,JIGAWA,BABURA,BABURA,KUDU PRI. SCH.,17-02-01-030,565
168,JIGAWA,BABURA,BABURA,GGDSS BABURA,17-02-01-031,92
169,JIGAWA,BABURA,BABURA,JSS SANI BABURA,17-02-01-032,620
170,JIGAWA,BABURA,BABURA,JGDSS YAU DANZUBUWA II,17-02-01-033,579
171,JIGAWA,BABURA,BABURA,NABAI NOMADIC PRI. SCH.,17-02-01-034,156
172,JIGAWA,BABURA,BATALI,BATALI PRI. SCH. BATALI,17-02-02-001,1222
173,JIGAWA,BABURA,BATALI,GANGARA/GANGARA HANWARE,17-02-02-002,853
174,JIGAWA,BABURA,BATALI,HAMMADI/HAMMADI,17-02-02-003,490
175,JIGAWA,BABURA,BATALI,JAMMUTUM PRI. SCH. JAMMUTUM,17-02-02-004,761
176,JIGAWA,BABURA,BATALI,KANDI PRI. SCH./ KANDI,17-02-02-005,399
177,JIGAWA,BABURA,BATALI,KURTA FULANI/KURTA KANAWA,17-02-02-006,454
178,JIGAWA,BABURA,BATALI,MALAMAWA PRI. SCH. MALAMAWA,17-02-02-007,747
179,JIGAWA,BABURA,BATALI,RIJIYAR DANZANGO/MIDIRIN TINBAU,17-02-02-008,667
180,JIGAWA,BABURA,BATALI,TASAWA/TASAWAR KANDI,17-02-02-009,450
181,JIGAWA,BABURA,BATALI,UNGUWAR GANJI/UNGUWAR GANJI,17-02-02-010,197
182,JIGAWA,BABURA,BATALI,YARKIRYA PRI. SCH. YARKIRYA,17-02-02-011,652
183,JIGAWA,BABURA,BATALI,MAISHEKA/ZUNTU,17-02-02-012,336
184,JIGAWA,BABURA,BATALI,BATALI PRI. SCH. II,17-02-02-013,49
185,JIGAWA,BABURA,BATALI,GANGARA HANWARE II,17-02-02-014,68
186,JIGAWA,BABURA,BATALI,JAN MUTUM PRI SCH II,17-02-02-015,56
187,JIGAWA,BABURA,DORAWA,AJJAH GARI/AJJAH GARI,17-02-03-001,419
188,JIGAWA,BABURA,DORAWA,DANMAKERI/DANMAKERI,17-02-03-002,431
189,JIGAWA,BABURA,DORAWA,DORAWA PRI. SCH. DORAWA,17-02-03-003,838
190,JIGAWA,BABURA,DORAWA,DORAWA WAJE/DORAWAWAJE,17-02-03-004,180
191,JIGAWA,BABURA,DORAWA,RAFIN TSAMIYA PRI.SCH,17-02-03-005,843
192,JIGAWA,BABURA,DORAWA,GIDAN GANJI/GIDAN GANJI,17-02-03-006,363
193,JIGAWA,BABURA,DORAWA,GIDAN GIDE/GIDAN GIDE,17-02-03-007,392
194,JIGAWA,BABURA,DORAWA,GIRDO PRI. SCH./GIRDO GARI,17-02-03-008,630
195,JIGAWA,BABURA,DORAWA,KUFANSHIRINYA/KUFANSHIRINYA,17-02-03-009,616
196,JIGAWA,BABURA,DORAWA,LAUYA/RAFIN TSAMIYA,17-02-03-010,196
197,JIGAWA,BABURA,DORAWA,YADAGIRMA/YADAGIRMA,17-02-03-011,434
198,JIGAWA,BABURA,DORAWA,DORAWA PRI. SCH. II,17-02-03-012,140
199,JIGAWA,BABURA,DORAWA,RAFIN TSAMIYA II,17-02-03-013,63
200,JIGAWA,BABURA,GARU,ANDO PRI. SCH./ANDO KANAWA,17-02-04-001,341
201,JIGAWA,BABURA,GARU,DORAWA TARA FULANI/DORAWA TARA,17-02-04-002,255
202,JIGAWA,BABURA,GARU,GIDAN BARUMA/GIDAN BARUMA,17-02-04-003,282
203,JIGAWA,BABURA,GARU,GARU PRI. SCH./GARU,17-02-04-004,689
204,JIGAWA,BABURA,GARU,GIGINYA/GIGINYA,17-02-04-005,358
205,JIGAWA,BABURA,GARU,JANSA PRI. SCH/JANSA,17-02-04-006,382
206,JIGAWA,BABURA,GARU,UNGUWAR GANJI/UNGUWAR GANJI,17-02-04-007,421
207,JIGAWA,BABURA,GARU,UNGUWAR TSAMIYA/UNG. TSAMIYA,17-02-04-008,533
208,JIGAWA,BABURA,GARU,WADAR KANAWA/WADAR KANAWA,17-02-04-009,583
209,JIGAWA,BABURA,GARU,ZURU PRI. SCH./ZURU,17-02-04-010,439
210,JIGAWA,BABURA,GARU,MURSHIYA/MURSHIYA,17-02-04-011,547
211,JIGAWA,BABURA,GARU,GARU PRI. SCH. / GARU,17-02-04-012,655
212,JIGAWA,BABURA,GASAKOLI,BALLADA FULANI/BALLADA,17-02-05-001,459
213,JIGAWA,BABURA,GASAKOLI,DANKABA PRI. SCH./DANKABA,17-02-05-002,587
214,JIGAWA,BABURA,GASAKOLI,DANMAGORI/DANMAGORI,17-02-05-003,527
215,JIGAWA,BABURA,GASAKOLI,DANYAYI PRI. SCH./DANYAYI,17-02-05-004,495
216,JIGAWA,BABURA,GASAKOLI,GAJANGO FULANI/GAJANGO,17-02-05-005,450
217,JIGAWA,BABURA,GASAKOLI,GIDAN MAUDIN/GIDAN MAUDIN,17-02-05-006,225
218,JIGAWA,BABURA,GASAKOLI,GASAKOLI PRI. SCH./GASAKOLI,17-02-05-007,825
219,JIGAWA,BABURA,GASAKOLI,DANGADO/GIDAN DANGADO,17-02-05-008,175
220,JIGAWA,BABURA,GASAKOLI,KADAGAWA PRI. SCH./ KADAGAWA,17-02-05-009,392
221,JIGAWA,BABURA,GASAKOLI,KAFINRABO/KAFINRABO,17-02-05-010,566
222,JIGAWA,BABURA,GASAKOLI,MUNDU/MUNDU,17-02-05-011,546
223,JIGAWA,BABURA,GASAKOLI,RATAYE PRI. SCH./RATAYE,17-02-05-012,297
224,JIGAWA,BABURA,GASAKOLI,RATAYE PRI. SCH./RATAYE YAMMA,17-02-05-013,467
225,JIGAWA,BABURA,GASAKOLI,SANSAMI/SANSAMI,17-02-05-014,419
226,JIGAWA,BABURA,GASAKOLI,TASHA PRI. SCH./TASHA,17-02-05-015,595
227,JIGAWA,BABURA,GASAKOLI,UNG. GOJE/UNG.GOJE S/G NERA,17-02-05-016,279
228,JIGAWA,BABURA,GASAKOLI,GASAKOLI PRI. SCH. II,17-02-05-017,51
229,JIGAWA,BABURA,INSHARUWA,ADUWARE PRI.SCH./ADUWARE,17-02-06-001,1110
230,JIGAWA,BABURA,INSHARUWA,ACHIYAR M. GARKE/ACHIYAR M. GARKE,17-02-06-002,440
231,JIGAWA,BABURA,INSHARUWA,BABADURO PRI. SCH./BABADURO,17-02-06-003,538
232,JIGAWA,BABURA,INSHARUWA,BAKAR KUKA PRI. SCH./BAKAR KUKA,17-02-06-004,611
233,JIGAWA,BABURA,INSHARUWA,UNGUWAR TORO PRI. SCH./CHIRINBIN GUMUZU,17-02-06-005,511
234,JIGAWA,BABURA,INSHARUWA,CHIRINBIN PRI. SCH/CHIRINBIN TSOHUWA,17-02-06-006,401
235,JIGAWA,BABURA,INSHARUWA,TSAMIYAR LAFIYA/DANFISA,17-02-06-007,738
236,JIGAWA,BABURA,INSHARUWA,GIGINYA PRI. SCH./ GIGINYA,17-02-06-008,819
237,JIGAWA,BABURA,INSHARUWA,INDIRKUBA/INDIRKUBA,17-02-06-009,322
238,JIGAWA,BABURA,INSHARUWA,INSHARUWA PRI. SCH./INSHARUWA,17-02-06-010,1167
239,JIGAWA,BABURA,INSHARUWA,BOTSOTSUWA/KAFIN RABO,17-02-06-011,425
240,JIGAWA,BABURA,INSHARUWA,MADATTA/MADATTA G. FETO,17-02-06-012,475
241,JIGAWA,BABURA,INSHARUWA,MARKEN BIKI PRI. SCH./MARKEN BIKI,17-02-06-013,544
242,JIGAWA,BABURA,INSHARUWA,YANMAULU PRI. SCH./ YANMAULU,17-02-06-014,863
243,JIGAWA,BABURA,INSHARUWA,UNG. BAGUDU / UNG. BAGUDU,17-02-06-015,237
244,JIGAWA,BABURA,INSHARUWA,UKU DA SIS I PRI. SCH. /UKU DA SISI,17-02-06-016,688
245,JIGAWA,BABURA,INSHARUWA,UNG. TORO PRI. SCH. / UNG. TORO,17-02-06-017,346
246,JIGAWA,BABURA,INSHARUWA,ADUWARE PRI. SCH. II,17-02-06-018,89
247,JIGAWA,BABURA,INSHARUWA,INSHARUWA PRI. SCH. II,17-02-06-019,107
248,JIGAWA,BABURA,INSHARUWA,MUNI NOMADIC PRI. SCH,17-02-06-020,363
249,JIGAWA,BABURA,JIGAWA,GIDAN MAI DAWA/BABBAR RUGA,17-02-07-001,273
250,JIGAWA,BABURA,JIGAWA,BULE PRI. SCH. BULE,17-02-07-002,364
251,JIGAWA,BABURA,JIGAWA,FARU MAITAYA/FARU MAITAYA,17-02-07-003,389
252,JIGAWA,BABURA,JIGAWA,GARINGANAU PRI. SCH. /GARINGANAU,17-02-07-004,1030
253,JIGAWA,BABURA,JIGAWA,DORAYI PRI. SCH / GARI UKU,17-02-07-005,696
254,JIGAWA,BABURA,JIGAWA,GURFAI PRI. SCH./ GURFAI,17-02-07-006,739
255,JIGAWA,BABURA,JIGAWA,HAYANIYA / HAYANIYA,17-02-07-007,371
256,JIGAWA,BABURA,JIGAWA,JAUNARE PRI. SCH./ JAUNARE,17-02-07-008,461
257,JIGAWA,BABURA,JIGAWA,JIGAWA PRI. SCH. / JIGAWA AREWA,17-02-07-009,1111
258,JIGAWA,BABURA,JIGAWA,JIGAWA PRI. SCH. /JIGAWA KUDU,17-02-07-010,1304
259,JIGAWA,BABURA,JIGAWA,KANKARE/.KANKAREN BULE,17-02-07-011,300
260,JIGAWA,BABURA,JIGAWA,KARA ADE PRI. SCH. /KARA ADE.UNG. GANJI,17-02-07-012,565
261,JIGAWA,BABURA,JIGAWA,KUNYAFA PRI. SCH. / KUNYAFA SABUWA,17-02-07-013,460
262,JIGAWA,BABURA,JIGAWA,KUNYAFA TSOHUWA/KUNYAFA TSOHUWA,17-02-07-014,267
263,JIGAWA,BABURA,JIGAWA,MIDIRI PRI. SCH./ KAGARMANYA,17-02-07-015,280
264,JIGAWA,BABURA,JIGAWA,KWANDO PRI. SCH./KWANDO,17-02-07-016,355
265,JIGAWA,BABURA,JIGAWA,MAILEFE PRI. SCH./MAILEFE,17-02-07-017,404
266,JIGAWA,BABURA,JIGAWA,GADI PRI. SCH/MIDIRINGADI,17-02-07-018,487
267,JIGAWA,BABURA,JIGAWA,GIDAN BOKA/ RIBINJIN MANZO,17-02-07-019,374
268,JIGAWA,BABURA,JIGAWA,SABONGARI CHIRIBI/SABON GARI JANZOMO,17-02-07-020,536
269,JIGAWA,BABURA,JIGAWA,SANTARBI PRI. SCH. / SANTARBI,17-02-07-021,283
270,JIGAWA,BABURA,JIGAWA,SANTARBI PRI. SCH. / /UNG. GANJII,17-02-07-022,228
271,JIGAWA,BABURA,JIGAWA,UNGUWAR SHURI / UNGUWAR SHURI,17-02-07-023,588
272,JIGAWA,BABURA,JIGAWA,GURFAI PRI. SCH. / GURFAI,17-02-07-024,309
273,JIGAWA,BABURA,JIGAWA,GIDAN MAJA / G. MAJA U. KEDI,17-02-07-025,247
